2026-05-22 10:57:30 | INFO | test_execution | Inicio test_get_post_existente_devuelve_estructura_valida
2026-05-22 10:57:30 | INFO | test_execution | Inicio test_get_post_inexistente_devuelve_404
2026-05-22 10:57:31 | INFO | test_execution | Inicio test_post_crea_recurso_con_payload_parametrizado | title=Proyecto final QA Automation
2026-05-22 10:57:32 | INFO | test_execution | Inicio test_post_crea_recurso_con_payload_parametrizado | title=Segundo escenario parametrizado
2026-05-22 10:57:33 | INFO | test_execution | Inicio test_delete_post_devuelve_respuesta_exitosa
2026-05-22 10:57:33 | INFO | test_execution | Inicio test_flujo_api_crear_actualizar_y_eliminar_recurso
2026-05-22 10:57:42 | INFO | utils.driver_factory | Navegador Chrome iniciado. Headless=False
2026-05-22 10:57:42 | INFO | test_execution | Inicio test_login_data_driven | usuario=standard_user | esperado=True
2026-05-22 10:57:42 | INFO | LoginPage | Abriendo URL: https://www.saucedemo.com/
2026-05-22 10:57:43 | INFO | LoginPage | Esperando visibilidad del elemento: ('class name', 'login_logo')
2026-05-22 10:57:43 | INFO | LoginPage | Ejecutando login con usuario: standard_user
2026-05-22 10:57:43 | INFO | LoginPage | Esperando visibilidad del elemento: ('id', 'user-name')
2026-05-22 10:57:43 | INFO | LoginPage | Esperando visibilidad del elemento: ('id', 'password')
2026-05-22 10:57:43 | INFO | LoginPage | Esperando elemento clickeable: ('id', 'login-button')
2026-05-22 10:57:44 | INFO | InventoryPage | Esperando visibilidad del elemento: ('class name', 'app_logo')
2026-05-22 10:57:44 | INFO | InventoryPage | Esperando visibilidad del elemento: ('class name', 'title')
2026-05-22 10:57:44 | INFO | InventoryPage | Esperando listado de elementos visibles: ('class name', 'inventory_item')
2026-05-22 10:57:44 | INFO | InventoryPage | Esperando visibilidad del elemento: ('class name', 'title')
2026-05-22 10:57:48 | INFO | utils.driver_factory | Navegador Chrome iniciado. Headless=False
2026-05-22 10:57:48 | INFO | test_execution | Inicio test_login_data_driven | usuario=locked_out_user | esperado=False
2026-05-22 10:57:48 | INFO | LoginPage | Abriendo URL: https://www.saucedemo.com/
2026-05-22 10:57:49 | INFO | LoginPage | Esperando visibilidad del elemento: ('class name', 'login_logo')
2026-05-22 10:57:49 | INFO | LoginPage | Ejecutando login con usuario: locked_out_user
2026-05-22 10:57:49 | INFO | LoginPage | Esperando visibilidad del elemento: ('id', 'user-name')
2026-05-22 10:57:53 | INFO | LoginPage | Esperando visibilidad del elemento: ('id', 'password')
2026-05-22 10:57:54 | INFO | LoginPage | Esperando elemento clickeable: ('id', 'login-button')
2026-05-22 10:57:54 | INFO | LoginPage | Esperando visibilidad del elemento: ('css selector', "h3[data-test='error']")
2026-05-22 10:57:58 | INFO | utils.driver_factory | Navegador Chrome iniciado. Headless=False
2026-05-22 10:57:58 | INFO | test_execution | Inicio test_login_data_driven | usuario=usuario_invalido | esperado=False
2026-05-22 10:57:58 | INFO | LoginPage | Abriendo URL: https://www.saucedemo.com/
2026-05-22 10:57:59 | INFO | LoginPage | Esperando visibilidad del elemento: ('class name', 'login_logo')
2026-05-22 10:57:59 | INFO | LoginPage | Ejecutando login con usuario: usuario_invalido
2026-05-22 10:57:59 | INFO | LoginPage | Esperando visibilidad del elemento: ('id', 'user-name')
2026-05-22 10:58:00 | INFO | LoginPage | Esperando visibilidad del elemento: ('id', 'password')
2026-05-22 10:58:00 | INFO | LoginPage | Esperando elemento clickeable: ('id', 'login-button')
